source,code,name,lang,lang_bn,grup,enerc_kcal,water,protcnt,fatce,cho,fibtg,ash,ca,fe,mg,p,k,na,zn,cu,vita,retol,cartbeq,vitd,vite,thia,ribf,nia,vitb6c,folsum,vitc
FCT_2014,15_0003,Honey,mdhu,মধু,Miscellaneous Foods,326,18.2,0.3,0,81.1,0.2,0.2,0.005,0.0005,0.002,0.009,0.051,0.009,0.00049,4.00E-05,,,,,,,6.00E-05,0.00016,0.00016,1.00E-06,0.0014
FCT_2014,15_0004,"Jaggery, sugarcane, solid",aakher gurr,আখের গুড়,Miscellaneous Foods,385,3.4,0.5,0.1,95.4,0,0.6,0.092,0.0016,0.12,0.072,0.29,0.079,0.0001,0.00075,,,,,,,4.00E-05,,,,
FCT_2014,15_0005,"Jaggery/Panela, date palm",khejurer gurr,খেজুরের গুড়,Miscellaneous Foods,352,9.6,1.5,0.3,85.7,0.3,2.6,0.363,,,0.062,,,,,,,,,,,,,,,
FCT_2014,15_0006,"Jagggery liquid, date palm",nlen gudd',নলেন গুড়,Miscellaneous Foods,86,78.3,0.3,0.1,20.9,0.1,0.3,0.087,,,0.015,,,,,,,,,,,,,,,
FCT_2014,15_0008,"Sugar, white",saadaa cini,সাদা চিনি,Miscellaneous Foods,398,0.4,0,0,99.5,0,0.1,0.012,0.0002,0.002,0.001,0.005,0.005,0.0001,0.00012,,,,,,,,,,,
BD_original,H001,Almond,kaatthbaadaam,কাঠবাদাম,Nuts and Oil Seeds,609.2,4.37,18.41,58.49,2.24,13.06,2.62,0.228,0.00459,0.318,0.446,0.699,0.0015,0.0035,0.00108,0,0,0,1.61E-06,0.02586,0.00015,0.00026,0.00371,9.00E-05,3.65E-05,0.00074
BD_original,H005,Cashew nut,kaaju baadaam,কাজু বাদাম,Nuts and Oil Seeds,582.7,4.44,18.78,45.2,23.23,3.86,2.25,0.034,0.00595,0.307,0.5,0.635,0.009,0.00534,0.00223,0,0,0,3.85E-06,0.00105,0.00061,3.00E-05,0.00103,0.00016,2.52E-05,0
BD_original,H006,Coconut kernel dry,Narkel,নারকেল,Nuts and Oil Seeds,624,3.97,7.27,63.26,6.93,15.88,1.61,0.032,0.00313,0.09721,0.203,0.739,0.01668,0.00141,0.0009,0,0,0,0,0.00606,4.00E-05,4.00E-05,0.00071,0.00015,2.43E-05,0
BD_original,H007,Coconut kernel fresh,Daber Shaas,ডাবের শাঁস,Nuts and Oil Seeds,408.9,36.14,3.84,41.38,6.2,10.42,1.93,0.008,0.0013,0.035,0.06773,0.246,0.00812,0.00058,0.00036,2.66E-06,0,2.66E-06,0,0.00272,3.00E-05,8.00E-05,0.0003,0.0001,2.54E-05,0.0008
BD_original,H008,Garden cress seeds,Halim,হালিম দানা বা শাহীদানা,Nuts and Oil Seeds,445.3,4.6,23.36,23.74,31.03,8.27,6.37,0.318,0.0172,0.307,0.539,0.952,0.02184,0.00483,0.00051,0,0,0,1.92E-06,7.00E-05,0.00052,0.00015,0.00567,5.00E-05,3.09E-05,0
BD_original,H009,Gingelly seeds black,Til,কালো তিল,Nuts and Oil Seeds,507.6,4.51,19.17,43.1,9.53,17.16,5.78,1.664,0.0139,0.39,0.568,0.48,0.01591,0.00859,0.00176,1.31E-05,0,1.31E-05,6.78E-05,9.00E-05,0.00034,0.0001,0.00312,0.00064,0.000127,0
BD_original,H010,Gingelly seeds brown,Til,বাদামী তিল,Nuts and Oil Seeds,516.5,3.62,21.61,43.22,9.31,17.21,4.58,1.174,0.01495,0.328,0.613,0.491,0.01194,0.00784,0.00168,5.41E-06,0,5.41E-06,7.65E-05,0.00023,0.00027,8.00E-05,0.00305,0.00049,9.26E-05,0
BD_original,H011,Gingelly seeds white,Til,সাদা তিল,Nuts and Oil Seeds,519.6,3.3,21.7,43.05,8.61,16.99,4.13,1.283,0.01504,0.372,0.754,0.46,0.01543,0.00777,0.0015,1.29E-05,0,1.29E-05,6.27E-05,0.00126,0.00036,7.00E-05,0.00394,0.00062,0.000131,0
BD_original,H012,Ground nut,China badam,চীনাবাদাম,Nuts and Oil Seeds,520.1,6.97,23.65,39.63,14.61,10.38,2.11,0.054,0.00344,0.197,0.391,0.679,0.01221,0.00318,0.00092,2.28E-05,0,2.28E-05,7.10E-06,0.00028,0.00057,0.00012,0.01135,0.00023,9.09E-05,0
BD_original,H013,Mustard seeds,Sorse,সরিষার বীজ বা সর্ষে,Nuts and Oil Seeds,509.6,5.67,19.51,40.19,14.12,14.1,3.73,0.402,0.01349,0.266,0.715,0.694,0.00397,0.00403,0.00069,3.67E-05,0,3.67E-05,3.18E-05,0.00045,0.00055,0.00033,0.0038,0.00024,9.49E-05,0
BD_original,H014,Linseeds,Tishi,তিসি,Nuts and Oil Seeds,443.8,5.48,18.55,35.67,8.15,26.17,3.15,0.257,0.00544,0.349,0.445,0.655,0.03293,0.00486,0.00134,1.05E-06,0,1.05E-06,5.50E-07,0.00828,0.00028,5.00E-05,0.00109,0.00035,8.65E-05,0
BD_original,H016,Niger seeds grey,Ram til,রামতিল,Nuts and Oil Seeds,508.6,5.66,18.34,39.53,16.75,10.96,4.92,0.375,0.01961,0.379,0.474,0.874,0.00808,0.00362,0.00137,1.12E-05,0,1.12E-05,2.70E-06,0.00266,0.00038,0.00035,0.00088,0.00034,7.31E-05,0
BD_original,H017,Pine seeds,Pine seeds,পাইন নাট,Nuts and Oil Seeds,594.2,5.32,12.55,48.79,22.6,3.79,2.78,0.017,0.0045,0.268,0.618,0.686,0.00131,0.00418,0.00117,1.98E-06,0,1.98E-06,6.10E-07,1.00E-05,0.00036,8.00E-05,0.00352,0.00011,3.16E-05,0
BD_original,H018,Pistachio nuts,Pesta,পেস্তা বাদাম,Nuts and Oil Seeds,539.4,4.68,23.35,42.49,14.55,10.64,3.02,0.135,0.0045,0.149,0.537,1.053,0.00693,0.00242,0.00089,0.00011,0,0.00011,1.80E-06,0.03392,0.00098,4.00E-05,0.00086,0.00096,6.49E-05,0
BD_original,H019,Safflower seeds,Kusum,কুসুম ফুল,Nuts and Oil Seeds,473.5,5.24,17.66,30.87,28.15,13.49,2.57,0.211,0.00406,0.321,0.644,0.55,0.00305,0.0039,0.00056,2.07E-06,0,2.07E-06,1.91E-06,0.03509,0.00085,0.00015,0.00112,0.00093,8.24E-05,0
BD_original,H020,Sunflower seeds,Suraj mukhi,সূর্যমুখী বীজ,Nuts and Oil Seeds,586.3,3.53,23.53,51.85,6.79,10.8,3.44,0.176,0.00585,0.413,0.752,0.559,0.0019,0.00707,0.00278,8.15E-06,0,8.15E-06,1.54E-06,0.01293,0.00059,0.00013,0.0016,0.00094,8.18E-05,0
BD_original,I001,Jaggery cane,Gurh,গুড়,Sugars,353.7,11.2,1.85,0.16,84.32,0,1.92,0.107,0.00463,0.115,0.07453,0.488,0.02538,0.00045,7.00E-05,0,0,0,4.70E-07,4.00E-05,4.00E-05,1.00E-05,2.00E-05,0.00071,1.44E-05,0
BD_original,J001,Button mushroom fresh,fresh masrom,বোতাম মাশরুম (তাজা),Mushrooms,27.5,90.09,3.68,0.42,0.8,3.11,0.71,0.01838,0.00029,0.0183,0.08711,0.318,0.00772,0.00017,9.00E-05,0,0,0,2.05E-05,1.00E-05,1.00E-05,3.00E-05,0.00068,0.00012,8.28E-06,0
BD_original,J003,Shiitake mushroom fresh,masrom(sitaki),শিটাকে মাশরুম (তাজা),Mushrooms,58.1,82.94,3.19,0.76,4.51,3.02,1.11,0.0053,0.00193,0.02447,0.09636,0.323,0.0093,0.00121,0.00023,0,0,0,3.64E-05,1.00E-05,5.00E-05,0.00016,0.00192,0.00045,1.09E-05,0
BD_original,J004,Oyster mushroom dried,dry Jhinuk masrom,ঝিনুক মাশরুম (তাজা),Mushrooms,243.5,4.51,19.04,2.86,22,39.12,1.41,0.02361,0.00358,0.136,0.702,0.35,0.00867,0.00867,0.0009,0,0,0,0.000109,1.00E-05,0.00024,0.00017,0.00377,0.00085,1.04E-05,0
BD_original,K001,Toddy,Tari,তাড়ি,Miscellaneous Foods,24.1,93.86,0.18,0.03,5.73,0,0.21,0.00044,0.00042,0.00399,0.00582,0.08354,0.00164,1.00E-05,2.00E-05,0,0,0,0,1.00E-05,1.00E-05,0.00027,0.00035,3.00E-05,7.30E-07,0.00092
BD_original,L001,Buffalo Milk,Dudha (Mosher),মহিষের দুধ,Milk and Milk Products,107.3,80.68,3.68,6.58,5.48,0,0.67,0.121,0.00016,0.01005,0.08694,0.109,0.0301,0.0003,3.00E-05,8.42E-06,0,8.42E-06,1.63E-06,0.00019,5.00E-05,0.00013,7.00E-05,4.00E-05,8.57E-06,0.00237
BD_original,L002,Cow Milk,Doodh (garu),গরু দুধ,Milk and Milk Products,72.9,86.64,3.26,4.48,4.94,0,0.68,0.118,0.00015,0.00828,0.09656,0.115,0.02546,0.00033,3.00E-05,1.37E-05,0,1.37E-05,1.22E-06,0.00022,3.00E-05,0.00011,8.00E-05,4.00E-05,7.03E-06,0.00201
BD_original,L003,Paneer,Chena,পনির বা ছানা,Milk and Milk Products,257.9,51.96,18.86,14.78,12.01,0,1.98,0.476,0.0009,0.02662,0.33,0.06353,0.01804,0.00274,0.0001,4.39E-06,0,4.39E-06,1.30E-07,2.00E-05,2.00E-05,0.0001,0.00013,4.00E-05,9.33E-05,0
BD_original,L004,Khoa,Khoa,ঘন দুধ,Milk and Milk Products,316,42.51,16.34,20.62,16.33,0,4,0.602,0.00232,0.05853,0.476,0.536,0.0481,0.00234,7.00E-05,3.52E-06,0,3.52E-06,1.20E-07,3.00E-05,0.00011,0.00011,0.00043,6.00E-05,9.43E-05,0
BD_original,M001,Egg poultry whole,Dim,পোলট্রি মুরগির ডিমের তরকারি,Egg and Egg Products,134.8,76.51,13.28,9.15,0,0,0.81,0.04944,0.00182,0.01201,0.185,0.138,0.123,0.00123,7.00E-05,0.00021257,0.000198,1.46E-05,8.40E-07,0.00151,6.00E-05,0.00019,0.00011,0.00016,4.93E-05,0
BD_original,M002,Egg poultry white,Dimer Shada Ongsho,সিদ্ধ পোলট্রি মুরগির ডিমের শ্বেতাংশ,Egg and Egg Products,44.7,86.68,10.84,0.06,0,0,0.75,0.00564,7.00E-05,0.01142,0.01581,0.152,0.166,3.00E-05,3.00E-05,0,0,0,1.05E-06,0,2.00E-05,0.00016,1.00E-05,0.00436,4.96E-06,0
BD_original,M003,Egg poultry yolk,Dimer Kushum,কাঁচা পোলট্রি মুরগির ডিমের কুসুম,Egg and Egg Products,296.8,53.57,15.74,26.34,0,0,1.05,0.116,0.00317,0.01317,0.549,0.118,0.04633,0.00164,0.0001,0.00062996,0.000539,9.10E-05,3.29E-06,0.00297,0.00011,0.00016,0.00069,0.00029,0.000112,0
BD_original,M004,Egg poultry,Sheddho Dim,সিদ্ধ পোলট্রি মুরগির ডিম,Egg and Egg Products,147.7,73.46,13.43,10.54,0,0,0.86,0.05512,0.00187,0.01376,0.209,0.127,0.121,0.00131,7.00E-05,0.00019426,0.00018,1.43E-05,7.40E-07,0.00134,6.00E-05,0.00018,0.00021,0.00014,4.83E-05,0
BD_original,M005,Egg poultry white,Sheddho Dimer Shada,পোলট্রি মুরগির ডিমের শ্বেতাংশ,Egg and Egg Products,52.6,83.54,12.37,0.26,0,0,0.81,0.00807,0.00015,0.01162,0.023,0.147,0.144,9.00E-05,5.00E-05,0,0,0,1.80E-07,0,2.00E-05,0.00018,1.00E-05,0.00437,4.10E-06,0
BD_original,M006,Egg poultry yolk,Sheddho Dimer Kushum,সিদ্ধ পোলট্রি মুরগির ডিমের কুসুম,Egg and Egg Products,308.3,51.42,16.13,27.46,0,0,1.38,0.12,0.00492,0.01552,0.586,0.106,0.04483,0.00359,0.00013,0.00052628,0.000456,7.03E-05,3.04E-06,0.0028,0.00017,0.00015,0.00045,0.00027,0.00011,0
BD_original,M007,Egg poultry omlet,"Egg, poultry, omlet",পোলট্রি মুরগির ডিমের অমলেট,Egg and Egg Products,169.7,68.48,16.53,11.6,0,0,0.96,0.05326,0.00216,0.01484,0.222,0.163,0.169,0.00131,0.00015,0.00019311,0.000181,1.21E-05,2.98E-06,0.00188,0.00011,0.0002,0.00033,0.00014,3.77E-05,0
BD_original,M008,Egg country hen,Deshi Murgir Dim,দেশি মুরগির ডিমের তরকারি,Egg and Egg Products,168.3,72.96,13.14,13,0,0,0.86,0.05014,0.00164,0.011,0.198,0.117,0.157,0.00112,6.00E-05,0.00022611,0.000206,2.01E-05,4.46E-06,0.0021,0.00014,8.00E-05,0.00014,0.00018,5.46E-05,0
BD_original,M009,Egg country hen,Sheddho Deshi Murgir Dim,সিদ্ধ দেশি মুরগির ডিম,Egg and Egg Products,183.3,70.43,14.43,14.1,0,0,0.94,0.05779,0.00173,0.011,0.206,0.12,0.149,0.00125,9.00E-05,0.00021351,0.000195,1.85E-05,2.99E-06,0.00205,0.00011,8.00E-05,0.00012,0.00018,6.00E-05,0
BD_original,M010,Egg country hen omlet,"Egg, country hen, omlet",দেশি মুরগির ডিমের অমলেট,Egg and Egg Products,204.3,67.8,14.8,16.3,0,0,1.08,0.05588,0.00215,0.013,0.243,0.151,0.157,0.00126,0.00017,0.0002177,0.000202,1.57E-05,3.44E-06,0.00279,0.00014,7.00E-05,0.00014,0.00018,5.88E-05,0
BD_original,M011,Egg duck,Sheddho Haasher Dim,সিদ্ধ হাঁসের ডিম,Egg and Egg Products,176.4,71.61,13.8,13.61,0,0,0.97,0.05612,0.00261,0.012,0.263,0.221,0.11,0.00158,0.00012,0.00021484,0.000171,4.38E-05,1.90E-06,0.00206,0.00021,7.00E-05,0.00018,0.00015,7.33E-05,0
BD_original,M012,Egg duck,Haasher Dim,হাঁসের ডিম (কাঁচা),Egg and Egg Products,181.6,70.53,14.6,13.83,0,0,0.99,0.05246,0.00246,0.012,0.247,0.228,0.113,0.00149,0.00011,0.00022774,0.000181,4.67E-05,2.67E-06,0.00247,0.00018,7.00E-05,0.00013,0.00015,7.55E-05,0
BD_original,M013,Egg duck omlet,"Egg, duck, whole, omlet",হাঁসের ডিমের অমলেট,Egg and Egg Products,192.2,68.9,15.1,14.8,0,0,1.18,0.07179,0.00328,0.015,0.309,0.154,0.175,0.00189,0.00017,0.00020506,0.000166,3.91E-05,2.10E-06,0.00266,0.00031,9.00E-05,0.00014,0.00015,6.80E-05,0
BD_original,M014,Egg quial,Bater Dim,কোয়েল পাখির ডিম (কাঁচা ),Egg and Egg Products,151.8,75.11,12.39,11.46,0,0,0.94,0.06067,0.00255,0.011,0.236,0.119,0.132,0.00151,9.00E-05,0.00016753,0.000151,1.65E-05,5.72E-06,0.00099,0.00015,0.00011,0.00012,0.00017,5.49E-05,0
BD_original,M015,Egg Quial,Sheddho Bater Dim,কোয়েল পাখির ডিম (সিদ্ধ),Egg and Egg Products,154.6,74.41,13.03,11.5,0,0,0.99,0.06135,0.00263,0.012,0.237,0.115,0.13,0.00155,0.00013,0.00015241,0.00014,1.24E-05,4.91E-06,0.00084,0.00011,8.00E-05,0.00015,0.00015,5.17E-05,0
BD_original,N001,"Chicken, poultry, leg, skinless",Murgir Thyang/Ran,মুরগির পা,Poultry,383.6,67.61,19.44,12.64,0,0,1.14,0.02052,0.00127,0.02382,0.199,0.283,0.06507,0.00177,0.00025,1.10E-05,1.10E-05,0,1.14E-06,0.00061,0.00017,0.00013,0.0056,0.00033,7.47E-06,0
BD_original,N002,"Chicken, poultry thigh",Murgir Ran,মুরগির রান,Poultry,199.8,67.58,18.18,14.23,0,0,1.14,0.01837,0.00111,0.02255,0.186,0.263,0.06459,0.00142,0.00023,1.65E-05,1.65E-05,0,1.24E-06,0.00066,0.00013,0.0001,0.00562,0.00038,9.00E-06,0
BD_original,N003,"Chicken, poultry breast",Murgir Book,মুরগির মাংস,Poultry,168.3,67.15,21.81,9,0,0,1.19,0.01291,0.00083,0.0202,0.178,0.295,0.0367,0.00078,0.00027,6.96E-06,6.96E-06,0,1.38E-06,0.00029,0.0001,6.00E-05,0.00806,0.00053,1.04E-05,0
BD_original,N004,Chicken poultry wing,Murgir Dana/Pakha,মুরগির ডানা বা পাখা,Poultry,192.9,67.48,17.42,13.81,0,0,1.13,0.02813,0.00138,0.02281,0.189,0.185,0.07278,0.00148,0.00043,3.12E-05,3.12E-05,0,1.11E-06,0.00058,8.00E-05,7.00E-05,0.00666,0.00039,7.87E-06,0
BD_original,N005,Poultry chicken liver,Murgir Mete/Kolija,মুরগির কলিজা,Poultry,123.8,73.2,21.57,4.08,0,0,1.11,0.0041,0.00992,0.016,0.244,0.241,0.06158,0.00265,0.00029,0.003486,0.003486,0,2.64E-06,0.00073,0.00028,0.0002,0.00444,0.00092,0.001032,0
BD_original,N006,Poultry chicken gizzard,Murgir Gila,মুরগির গিলা,Poultry,92.3,78.05,18.22,2.07,0,0,1.46,0.00546,0.00319,0.014,0.119,0.244,0.0506,0.00265,0.0002,4.68E-05,4.68E-05,0,1.60E-06,0.00063,1.00E-05,0.00011,0.00287,0.00014,8.72E-06,0
BD_original,N007,Country hen leg,Deshi Murgir Thyang/Ran,দেশি মুরগির পা,Poultry,172.8,70.02,17.01,11.73,0,0,1.2,0.02256,0.00166,0.025,0.25,0.357,0.05046,0.00271,0.00022,1.74E-05,1.74E-05,0,1.12E-06,0.0007,0.00017,0.0001,0.00244,0.00036,8.10E-06,0
BD_original,N008,Country hen thigh,Deshi Murgir Ran,দেশি মুরগির রান,Poultry,187.6,67.46,18.29,12.82,0,0,1.23,0.02012,0.0014,0.024,0.232,0.33,0.05114,0.00216,0.0004,2.70E-05,2.70E-05,0,1.05E-06,0.00055,0.00011,0.00013,0.00362,0.00042,1.04E-05,0
BD_original,N009,Country hen breast,Deshi Murgir Book,দেশি মুরগির বুক,Poultry,180,66.53,22.08,10.2,0,0,1.14,0.01249,0.00109,0.022,0.222,0.365,0.02313,0.00078,0.00013,8.52E-06,8.52E-06,0,8.00E-07,0.00036,0.00011,4.00E-05,0.00562,0.00059,1.30E-05,0
BD_original,N010,Country hen wing,Deshi Murgir Dana/Pakha,দেশি মুরগির ডানা বা পাখা,Poultry,182.6,68.01,18.65,12.09,0,0,1.14,0.03546,0.00145,0.025,0.235,0.249,0.05415,0.00164,0.00015,2.75E-05,2.75E-05,0,6.10E-07,0.00058,7.00E-05,3.00E-05,0.00319,0.00043,9.19E-06,0
BD_original,N011,Duck meat,Haasher Mangsho,হাঁসের মাংস,Poultry,130.7,73.49,19.07,6.03,0,0,1.22,0.02277,0.00426,0.026,0.237,0.273,0.08225,0.00292,0.001,4.89E-05,4.89E-05,0,9.10E-07,0.0007,0.00022,0.00013,0.00224,0.00031,2.80E-05,0
BD_original,N012,Emu meat,Emu meat,এমু পাখির মাংস,Poultry,132.9,71.65,22.65,4.62,0,0,0.98,0.0074,0.00395,0.025,0.243,0.275,0.04848,0.00291,0.00065,2.84E-06,2.84E-06,0,6.70E-07,0.00042,0.0001,0.00017,0.00326,0.00035,7.07E-06,0
BD_original,N013,Guinea fowl meat,Guinea fowl meat,তিতির মুরগির মাংস,Poultry,112.1,75.21,20.52,3.24,0,0,0.92,0.03077,0.0022,0.021,0.187,0.24,0.05764,0.00148,0.00017,2.26E-06,2.26E-06,0,1.02E-06,0.00188,2.00E-05,0.00018,0.00364,0.00058,5.69E-06,0
BD_original,N014,Pigeon meat,Payra Mangsho,কবুতরের মাংস,Poultry,126.2,74.61,17.94,6.03,0,0,1.32,0.01811,0.00381,0.029,0.255,0.346,0.0561,0.00248,0.0001,1.53E-05,1.53E-05,0,1.20E-06,0.00154,0.00018,0.00039,0.00345,0.00048,8.41E-06,0
BD_original,N015,Quail meat,Bater Mangsho,কোয়েল পাখির মাংস,Poultry,137.7,71.58,20.92,5.95,0,0,1.35,0.0206,0.0019,0.031,0.3,0.333,0.05621,0.00113,0.0002,1.28E-05,1.28E-05,0,1.53E-06,0.00167,5.00E-05,0.00024,0.00469,0.00056,9.33E-06,0
BD_original,N016,Turkey leg,Turkey leg,টার্কির পা,Poultry,154.6,69.24,20.3,8.15,0,0,1.21,0.02044,0.00201,0.026,0.236,0.308,0.06647,0.00335,0.00053,8.15E-06,8.15E-06,0,5.00E-07,0.00072,5.00E-05,0.00011,0.00492,0.00048,8.55E-06,0
BD_original,N017,Turkey thigh,Turkey thigh,টার্কির রান,Poultry,138.9,72.17,20.46,6.31,0,0,0.97,0.02352,0.00158,0.023,0.194,0.28,0.05001,0.00295,0.00047,1.31E-05,1.31E-05,0,3.60E-07,0.00063,4.00E-05,0.00012,0.00194,0.00051,1.09E-05,0
BD_original,N018,Turkey breast,Turkey breast,টার্কির বুক,Poultry,160.4,68.44,21.96,8.04,0,0,1.01,0.01435,0.00101,0.022,0.182,0.315,0.04045,0.00128,0.0001,8.97E-06,8.97E-06,0,5.20E-07,0.00057,6.00E-05,0.0001,0.00449,0.00056,1.47E-05,0
BD_original,N019,Turkey wing,Turkey wing,টার্কির ডানা,Poultry,184.3,66.16,21.91,10.77,0,0,0.97,0.03349,0.001,0.024,0.199,0.262,0.057,0.00168,0.0002,1.81E-05,1.81E-05,0,5.20E-07,0.00044,3.00E-05,9.00E-05,0.00438,0.00045,1.04E-05,0
BD_original,O001,"Goat, shoulder, meat",Pathar Kandh,খাসির কাঁধ,Animal Meat,188.1,66.39,20.33,11.94,0,0,0.9,0.00618,0.00148,0.02139,0.189,0.332,0.04731,0.00419,0.00011,7.57E-06,7.57E-06,0,8.00E-07,0.00035,7.00E-05,0.00017,0.00514,0.00026,0,0
BD_original,O002,"Goat, chops",Pathar Chaap,খাসির চাপ,Animal Meat,135.8,72.46,20.39,5.98,0,0,0.99,0.00744,0.00187,0.02113,0.195,0.334,0.04572,0.00455,7.00E-05,2.55E-06,2.55E-06,0,4.00E-07,0.00015,5.00E-05,0.00013,0.00551,0.0003,0,0
BD_original,O003,"Goat, legs",Pathar Thyang,খাসির পা,Animal Meat,159.9,68.85,22.07,7.94,0,0,0.97,0.00576,0.00177,0.02171,0.187,0.339,0.04277,0.00352,8.00E-05,8.51E-06,8.51E-06,0,3.20E-07,9.00E-05,7.00E-05,0.00015,0.00515,0.00031,0,0
BD_original,O004,"Goat, brain",Pathar Magaj,খাসির মগজ,Animal Meat,127.4,76.74,13.82,8.06,0,0,1.29,0.01061,0.00163,0.01394,0.296,0.296,0.132,0.00108,0.0003,1.98E-06,1.98E-06,0,3.00E-07,7.00E-05,0.00013,0.00017,0.00204,0.00028,0,0
BD_original,O008,"Goat, liver",Pathar Mete/Kolija,খাসির কলিজা,Animal Meat,125.7,73.37,20.32,4.88,0,0,1.3,0.00609,0.00656,0.018,0.336,0.284,0.05541,0.00348,0.0037,0.015655,0.015655,0,7.40E-07,0.00061,0.0002,0.00037,0.01288,0.00065,0,0
BD_original,O009,"Goat, tripe",Pathar Bhuri/Butt,খাসির ভুরি,Animal Meat,92.3,80.94,15.36,3.36,0,0,0.23,0.02087,0.00081,0.013,0.0592,0.045,0.02238,0.00166,7.00E-05,2.17E-06,2.17E-06,0,0,0.0001,2.00E-05,0.0001,0.00081,0.0002,0,0
BD_original,O014,"Sheep, shoulder",Bherar Kandh,ভেড়ার কাঁধ,Animal Meat,200.8,66.51,18.24,14.31,0,0,0.86,0.00546,0.00163,0.02131,0.195,0.336,0.04565,0.00369,7.00E-05,8.71E-06,8.71E-06,0,7.00E-08,0.00031,5.00E-05,0.00018,0.00453,0.00015,0,0
BD_original,O015,"Sheep, chops",Bherar Chaap,ভেড়ার চাপ,Animal Meat,118.5,75.66,18,5.15,0,0,1.09,0.00798,0.00224,0.02142,0.191,0.323,0.04526,0.00346,8.00E-05,3.49E-06,3.49E-06,0,4.70E-07,0.0001,7.00E-05,0.00016,0.00494,0.00018,0,0
BD_original,O016,"Sheep, leg",Bherar Thyang,ভেড়ার পা,Animal Meat,164,68.26,21.42,8.69,0,0,0.94,0.00687,0.00154,0.02222,0.187,0.333,0.0493,0.00267,9.00E-05,9.93E-06,9.93E-06,0,2.79E-06,8.00E-05,8.00E-05,0.00016,0.00525,0.00024,0,0
BD_original,O017,"Sheep, brain",Bherar Magaj,ভেড়ার মগজ,Animal Meat,117.6,78.36,13.05,7.29,0,0,1.19,0.01027,0.00193,0.01408,0.271,0.312,0.122,0.00111,0.00028,1.55E-06,1.55E-06,0,1.06E-06,9.00E-05,0.00012,0.00021,0.00266,0.00033,0,0
BD_original,O021,"Sheep, liver",Bherar Mete/Kolija,ভেড়ার কলিজা,Animal Meat,133.6,69.71,22.26,4.87,0,0,1.26,0.00592,0.00615,0.01791,0.334,0.28,0.05582,0.00373,0.0057,0.014106,0.014106,0,6.70E-07,0.0006,0.00017,0.00035,0.01566,0.00026,0,0
BD_original,O022,"Sheep, tripe",Bherar Bhuri/Butt,ভেড়ার ভুঁড়ি,Animal Meat,104,78.81,16.76,4.05,0,0,0.26,0.01485,0.0009,0.01781,0.05561,0.04875,0.01837,0.00189,6.00E-05,2.72E-06,2.72E-06,0,0,0.0002,2.00E-05,8.00E-05,0.00063,0.00022,0,0
BD_original,O025,"Beef, shoulder",Goru Kandh,গরুর কাঁধ,Animal Meat,212.5,63.84,20.56,14.59,0,0,0.95,0.0065,0.00222,0.02224,0.201,0.367,0.04559,0.00464,7.00E-05,1.55E-05,1.55E-05,0,6.00E-07,0.0004,3.00E-05,0.00012,0.00518,0.00048,0,0
BD_original,O026,"Beef, chops",Gorur Chaap,গরুর চাপ,Animal Meat,139.8,72.4,19.82,6.71,0,0,0.96,0.00464,0.00195,0.02472,0.209,0.383,0.03247,0.00377,4.00E-05,2.43E-06,2.43E-06,0,5.20E-07,0.0003,2.00E-05,6.00E-05,0.00436,0.00034,0,0
BD_original,O027,"Beef, round (leg)",Gorur Ran,গরুর রন,Animal Meat,157.3,68.04,22.64,7.38,0,0,1.19,0.00586,0.0023,0.02659,0.215,0.366,0.03896,0.00336,6.00E-05,2.52E-06,2.52E-06,0,5.40E-07,0.0004,4.00E-05,6.00E-05,0.0063,0.00044,0,0
BD_original,O028,"Beef, brain",Gorur Magaj,গরুর মগজ,Animal Meat,125,78.71,10.55,9.28,0,0,1.37,0.01138,0.00215,0.01584,0.326,0.32,0.127,0.00118,0.00029,2.18E-06,2.18E-06,0,7.40E-07,0.0001,0.00012,0.00013,0.00191,0.00025,0,0
BD_original,O032,"Beef, liver",Gorur Mete/Kolija,গরুর কলিজা,Animal Meat,119.3,74.15,20.73,3.96,0,0,1.07,0.00546,0.01482,0.01857,0.332,0.289,0.05014,0.00436,0.00123,0.009119,0.009119,0,4.00E-06,0.0006,0.00017,0.00034,0.01401,0.0003,0,0
BD_original,O033,"Beef, tripe",Gorur Bhuri/Butt,গরুর ভুরি,Animal Meat,75.5,83.74,13.1,2.51,0,0,0.55,0.0153,0.00084,0.00933,0.06017,0.143,0.041,0.00202,4.00E-05,4.29E-06,4.29E-06,0,4.06E-06,0.00041,3.00E-05,8.00E-05,0.00131,0.00023,0,0
BD_original,P002,Aluva,Black Pomfret,কালো রূপচাঁদা,Marine Fish,103.7,75.71,21.63,1.8,0,0,1.39,0.01132,0.00042,0.03438,0.245,0.47,0.04486,0.00038,4.00E-05,1.43E-05,1.43E-05,0,1.13E-06,0.001,5.00E-05,2.00E-05,0.00235,0.158,0,0
BD_original,P003,Anchovy,Anchovy,কাচকি মাছ,Marine Fish,87.7,77.77,19.88,0.78,0,0,1.62,0.0366,0.00054,0.053,0.246,0.27,0.212,0.00065,4.00E-05,1.22E-05,1.22E-05,0,2.87E-06,0.00073,3.00E-05,4.00E-05,0.00091,0.06125,0,0
